Status,Reason To Go,Reason To Go - Category,Reason To Go - All Tags,Reason Not To Go,Reason Not To Go - Category,Reason Not To Go - All Tags,What Would Help
No,,,,I have a daughter leaving for a mission at the same time,Work Schedule / Time Off,Work Schedule / Time Off; Other Life Commitment,
No,,,,Her uncle is going with her.,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,I may go in the future but I want my daughter to have an experience away from home and her parents. I think it'll be a great growing experience for her!,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,I'm a mission leader in Utah St. George Mission,Other Life Commitment,Other Life Commitment,
No,,,,Wondering if I could keep up with the kids,Health / Physical / Age,Health / Physical / Age,
No,,,,A business trip planned for the same week,Other Life Commitment,Other Life Commitment,
No,,,,money,Cost / Finances,Cost / Finances,
No,,,,No desire,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
No,,,,I would consider it for future trips but just did not consider it for this summer,Not Aware It Was an Option,Not Aware It Was an Option,
Yes,My daughter asked me to go with her :),Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,My child wanted to experience this trip on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My son didn't want us to and cost,Cost / Finances,Cost / Finances; Child Didn't Want Parent to Come,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Timing,Work Schedule / Time Off,Work Schedule / Time Off,
Maybe,,,,,,,It's about time and money - so decisions about going will be influenced by those 2 items for next summer. But I have strong interest in going.
Maybe,,,,,,,
No,,,,,,,
No,,,,,,,
Yes,I have been twice before,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,$$,Cost / Finances,Cost / Finances,
No,,,,Not available,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Think it will be good for kids to do something alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"We have been to Africa, Bolivia and Guatemala on family humanitarian trips. We are excited for Ririe to have a trip on his own with peers.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,I already went as parent builder 2015 to Bolivia and had a wonderful experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I'm not a good traveler,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
No,,,,other children at home to care for at this time,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,My husband is going,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Cost and time commitment,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,Too long of a trip,Work Schedule / Time Off,Work Schedule / Time Off,
Maybe,,,,,,,If younger sibling decides to go someday
Maybe,,,,,,,Personal health improvement
No,,,,Timing. I may be interested in the future. I have been a Scout master and high adventure leader for many years and now organized our Stake's Youth Camp. The timing for this was off. I would be interested in learning more and possibly going in 2025.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,$$,Cost / Finances,Cost / Finances,
No,,,,I think my son wanted to go without a parent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,The desire to be with my kid and serve together,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
No,,,,No time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I am not aware that I am able to go. I thought this was for the kids and leaders only. I would love to go with my son but am not aware that's an option,Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,Didn't really understand what it entailed,Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,Can't leave the country by the moment,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,It was never an option for me due to my work schedule,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Work schedule and wanted my youth to experience it on their own,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,Small children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My child wanted to go by herself,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Because of the cost,Cost / Finances,Cost / Finances,
No,,,,Responsibilities this summer. I'd love to go another time.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,I have 3 younger kids at home that I need to be with for other summer activities,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My daughters cousin and also my daughter wanted something more after fsy,Other / Uncategorized,,
No,,,,I wanted my son to have this experience by himself,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,"My summer was booked with other activities, I'm planning on going next year.",Work Schedule / Time Off,Work Schedule / Time Off; Other Life Commitment,
No,,,,Wanted my son to be on his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,we have a lot of kids. can't get away,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My builder wanted to have an experience without parents.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,"We joined so late it guaranteed my son a spot. Plus, I'm super excited to be included!!",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,My daughter is excited about going on this trip on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I went with my builder last year to Guatemala on a service trip and he told me it was the best experience of his life and he wanted to go another time without me;) I was happy to oblige for him to spread his wings even though a trip to Cambodia for service sounds rad.,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,time off work,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,Help my kids to build long lasting friendship and thief testimonies,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,"Work, other children at home",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,My son wouldn't let me since I went last year. He said he wants to do one on his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost,Cost / Finances,Cost / Finances,
Yes,Save my daughter,Other / Uncategorized,,,,,
Maybe,,,,,,,If it was cheaper for the parents.
No,,,,Cost and time. Although I'd love to go. Maybe with one of my younger kids,Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,,,,
Yes,Experience,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,I have too many younger kids still at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Wanted my daughter to get some experience being independent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,family responsibilites,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Finances,Cost / Finances,Cost / Finances,
No,,,,I wanted to let me son go without his dad on the trip.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My daughter wanted to experience it independently,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,I have younger children at home and I want my daughter to experience the independence of not going with us.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My daughter wanted to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,cost - it's already a huge expense just for our son to go,Cost / Finances,Cost / Finances,
No,,,,Couldn't get time off from work and wanted daughter to experience trip without parents.,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
Yes,HXP office reaching out to me personally to ask if I could go. Then my son saying he would be fine with it!,Personally Invited by HXP Staff/Trip Leader,Personally Invited by HXP Staff/Trip Leader,,,,
No,,,,"Timing and current money situation, but next year I'll try to volunteer to go with my son, domestically. He will still be 15.",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,too expensive,Cost / Finances,Cost / Finances,
Maybe,,,,,,,If it were easier to get a spot
No,,,,The cost for builder and parents builder.,Cost / Finances,Cost / Finances,
Yes,To be with my son for this experience - help other youth strengthen testimony,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
Yes,My daughter was using me for her to obtain an earlier selection. LOL. And I'm happy she did.,Securing/Ensuring Child's Spot (Registration Timing),Securing/Ensuring Child's Spot (Registration Timing),,,,
No,,,,small kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,My son asked me to,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
Maybe,,,,,,,price
No,,,,I felt my daughter needed to go without a parent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,i have 5 kids,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Not able to leave the rest of my family for that long,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Timing,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,Sending our kids is their senior trip and it is always our intention for one of us to join them.,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,"My builder didn't want me to, ha!",Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
Maybe,,,,,,,
No,,,,,,,
No,,,,Price,Cost / Finances,Cost / Finances,
No,,,,child wanted to experience this alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,She needs to do this alone and get out of her comfort zone. Trust me. I really wanted to go.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,,,,
No,,,,Money/time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Other family responsibilities,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Too many kids at home to leave,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"Young children at home need me here, but when these younger ones are old enough to go I'd love to go be a parent builder.",Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,My son's experience would have been altered had one of his parents been there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time off work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time and my child wanted to go on her own,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,The trip extends into the beginning of our school year and I have other children at home who will need me.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My husband is going as the parent builder. I went with our two boys and had a great experience.,Another Family Member Going Instead,Another Family Member Going Instead; Wants Child to Have Independent Experience,
No,,,,"I really wanted my son to have this experience not knowing anyone. I hope he will gain confidence in speaking to new people, making new friends, and learning to navigate unfamiliar circumstances using skills he has been taught growing up. I feel like being a parent builder may hinder that growth.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,,,,,,,
No,,,,"I wanted to leave this decision up to my son. While there are so many wonderful things that can happen going together, I also appreciated that it would be a slightly different experience if ""mom"" were there all the time. I would have LOVED to do it, but I didn't want to influence his experience to learn and grow, either.",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
Yes,The spirit 😊,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,,,,
No,,,,Child is our youngest and needs independence,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Wanted him to be without parents to prepare for a mission,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
Yes,want to serve with my son,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,My kid needs his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,International trip with spiritual undercurrent,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Want her to have her own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My child did not want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Timing and price,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,"just started a new job, can't take that much time off",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Didn't realize I could go as a parent builder.,Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,expense,Cost / Finances,Cost / Finances,
Yes,"Other parents going with their kids, and I haven't gone to Africa or on a mission.",Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,"Last year my daughter got hurt, and overlooked. It was 3 days before we knew she made it. I plan to never let a parent go through that if I can help it.",Previous Positive Experience,Previous Positive Experience,,,,
No,,,,my son didn't want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,My youth didn't want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,Worried that my daughter wouldn't participate as much if I was there,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Like them to go solo,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Experience testimonials from ones that have gone on a trip before,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,I am too busy,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Time, money",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Price,Cost / Finances,Cost / Finances,
Yes,Served my mission there,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,Cost and unable to take work off for that long,Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,,,,
No,,,,Let me son have this experience first himself. I'll go next year,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,"Can't do it this year, but I am planning on doing it next year if finances allow.",Cost / Finances,Cost / Finances,
No,,,,Other children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Finances and my other three kids at home,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
Yes,Passion for the humanitarian work and the opportunity to connect with my son,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,"Expense, time, hard to make arrangements for other kids, child wanting to go in her own.",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Other kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My builder didn't want a parent to go - she wants to experience this on her own.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,Daughter wanted to go on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Have other home responsibilities, child is fine traveling alone, want them to have their own experience",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Prefer my child to have this experience without a parent present.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,"Cost, Time Commitment",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,Ensuring a spot for my son,Other / Uncategorized,,,,,
No,,,,I can't afford it,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Too much time away from work.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Too many responsibilities and not enough money.,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Maybe,,,,,,,
No,,,,I have 5 other kids and am too busy right now.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
Yes,My husband has done this and had a wonderful experience.,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,The trip needed parent builders. The idea to spend time with my kid,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Don't have the time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My other kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,want my child to have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I can't leave my young family,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My son told me he thought he would reach out more if I wasn't there. I would love to go in the future!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Kids at home, wanting our son to have an experience without us around",Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,This year is was money and time. I went two years ago and loved it!,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Can't afford it,Cost / Finances,Cost / Finances,
No,,,,No availability,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Want daughter to have her own experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I went 2 years ago,Other / Uncategorized,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,My daughter would not want me there and I'm not sure I would be good at it.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Cost and other kids at home,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,Work and home responsibilities,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Cost and I want me child to have an individual experience without me.,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,Price,Cost / Finances,Cost / Finances,
Maybe,,,,,,,I tried to be a parent builder when we signed up but there was a mess up in the process and all our choices were gone. So I figured it wasn't meant to be this time.
No,,,,Husband is going,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Want my kid to be independent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Letting my kids experience something on their own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
Yes,I love the opportunity to serve people and see new places,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,,,,
No,,,,My daughter wanted to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,cost and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,$$$$$,Cost / Finances,Cost / Finances,
No,,,,Cost and I want my younger child to go next,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,"Time, want my builder to have her own experience",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Price,Cost / Finances,Cost / Finances,
No,,,,Not interested,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
Maybe,,,,,,,Having more time to go. We had a super busy summer this year.
No,,,,I have other kids at home.,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,son,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
Yes,Late to sign my son up so it was necessary.,Securing/Ensuring Child's Spot (Registration Timing),Securing/Ensuring Child's Spot (Registration Timing),,,,
No,,,,We wanted our son to have the experience on his own. He is great and will be so much fun on the trip and we wanted to have him have something of his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,Wanted to do something with my daughter,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,My daughter really wanted me to go.,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,Does not work for my life situation at this time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Space,Other / Uncategorized,,
No,,,,My daughter's preference to have her own experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,I have done 2 other humanitarian trips with another organization and my other daughters. I was excited to be apart of another one with my daughter Esmee,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
Maybe,,,,,,,"I would love to go, but I would rather made sure there is money for one of my kids to go"
No,,,,Child didn't want me to go.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Time away from younger kids,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Couldn't leave family for that long again. I might come next year.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Younger kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My daughter wanted to go on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Unable to take time off work.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,,,,
No,,,,Wife went last year. Was great! Sometimes point of trip is for kids go experience new.,Another Family Member Going Instead,Another Family Member Going Instead; Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,,,,
No,,,,,,,
No,,,,,,,
No,,,,,,,
No,,,,time away from work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Finances,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,"My child said absolutely no, I was not welcome with him.",Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,I felt my child would have a better exp without a parent there,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Can't take time from work.,Work Schedule / Time Off,Work Schedule / Time Off,
Maybe,,,,,,,Cost
